X,Y,Area Name,Terrain,Passable,Requirements
0,0,AWAKENING_WOODS,forest,Yes,None
0,1,TRIALS_PATH,forest,Yes,None
0,2,SHADOW_DOMAIN,ruins,Yes,None
0,3,SHADOW_TRAINING,ruins,Yes,shadow_essence
0,4,FORGOTTEN_TEMPLE,temple,Yes,shadow_blade
0,5,"Area (0, 5)",ruins,Yes,None
0,6,"Area (0, 6)",mountain,Yes,None
0,7,"Area (0, 7)",forest,Yes,mystic_crystal
0,8,"Area (0, 8)",mountain,Yes,None
0,9,"Area (0, 9)",clearing,No,None
1,0,WARRIORS_CAMP,clearing,Yes,None
1,1,MOUNTAIN_BASE,mountain,Yes,None
1,2,MYSTIC_MOUNTAINS,mountain,Yes,None
1,3,ENCHANTED_VALLEY,forest,Yes,mystic_crystal
1,4,CRYSTAL_CAVES,cave,Yes,luminous_crystal
1,5,"Area (1, 5)",clearing,Yes,None
1,6,"Area (1, 6)",valley,Yes,None
1,7,"Area (1, 7)",clearing,Yes,None
1,8,"Area (1, 8)",forest,Yes,None
1,9,"Area (1, 9)",clearing,Yes,None
2,0,TRAINING_GROUNDS,clearing,Yes,None
2,1,"Area (2, 1)",water,Yes,None
2,2,CRYSTAL_POND,water,Yes,None
2,3,"Area (2, 3)",mountain,No,None
2,4,FORGOTTEN_GROVE,forest,Yes,enchanted_seed
2,5,"Area (2, 5)",ruins,Yes,mystic_crystal
2,6,"Area (2, 6)",forest,Yes,None
2,7,"Area (2, 7)",forest,No,None
2,8,"Area (2, 8)",clearing,Yes,None
2,9,"Area (2, 9)",valley,Yes,None
3,0,HONOR_SHRINE,temple,Yes,None
3,1,"Area (3, 1)",forest,Yes,rusty_sword
3,2,MEDITATION_CIRCLE,clearing,Yes,None
3,3,"Area (3, 3)",temple,Yes,None
3,4,"Area (3, 4)",clearing,Yes,None
3,5,"Area (3, 5)",forest,No,None
3,6,"Area (3, 6)",water,Yes,None
3,7,"Area (3, 7)",temple,No,None
3,8,"Area (3, 8)",ruins,No,None
3,9,"Area (3, 9)",ruins,Yes,mystic_crystal
4,0,"Area (4, 0)",clearing,Yes,None
4,1,"Area (4, 1)",forest,Yes,None
4,2,"Area (4, 2)",forest,Yes,None
4,3,"Area (4, 3)",clearing,Yes,None
4,4,"Area (4, 4)",mountain,No,None
4,5,"Area (4, 5)",ruins,No,None
4,6,"Area (4, 6)",water,Yes,None
4,7,"Area (4, 7)",forest,No,None
4,8,"Area (4, 8)",clearing,Yes,rusty_sword
4,9,"Area (4, 9)",valley,Yes,None
5,0,"Area (5, 0)",clearing,Yes,None
5,1,"Area (5, 1)",forest,Yes,None
5,2,"Area (5, 2)",ruins,Yes,rusty_sword
5,3,"Area (5, 3)",clearing,No,None
5,4,"Area (5, 4)",clearing,Yes,None
5,5,CROSSROADS,clearing,Yes,None
5,6,"Area (5, 6)",forest,Yes,climbing_rope
5,7,"Area (5, 7)",valley,Yes,None
5,8,"Area (5, 8)",forest,Yes,None
5,9,"Area (5, 9)",clearing,Yes,None
6,0,"Area (6, 0)",clearing,Yes,None
6,1,"Area (6, 1)",ruins,Yes,None
6,2,"Area (6, 2)",forest,Yes,None
6,3,"Area (6, 3)",clearing,Yes,None
6,4,"Area (6, 4)",mountain,Yes,None
6,5,"Area (6, 5)",clearing,Yes,None
6,6,"Area (6, 6)",forest,Yes,None
6,7,"Area (6, 7)",mountain,Yes,None
6,8,"Area (6, 8)",clearing,Yes,rusty_sword
6,9,"Area (6, 9)",clearing,No,None
7,0,"Area (7, 0)",clearing,Yes,None
7,1,"Area (7, 1)",clearing,No,None
7,2,"Area (7, 2)",ruins,Yes,None
7,3,"Area (7, 3)",clearing,Yes,None
7,4,"Area (7, 4)",cave,Yes,None
7,5,"Area (7, 5)",valley,Yes,None
7,6,"Area (7, 6)",water,Yes,mystic_crystal
7,7,"Area (7, 7)",forest,Yes,None
7,8,"Area (7, 8)",forest,No,None
7,9,"Area (7, 9)",forest,No,None
8,0,"Area (8, 0)",forest,Yes,None
8,1,"Area (8, 1)",water,Yes,None
8,2,"Area (8, 2)",water,Yes,None
8,3,"Area (8, 3)",forest,Yes,None
8,4,"Area (8, 4)",ruins,No,None
8,5,"Area (8, 5)",clearing,No,None
8,6,"Area (8, 6)",forest,Yes,None
8,7,"Area (8, 7)",mountain,Yes,None
8,8,GUARDIAN_OVERLOOK,mountain,Yes,"honor_medal, shadow_blade, prismatic_shard"
8,9,"Area (8, 9)",temple,Yes,shadow_essence
9,0,"Area (9, 0)",clearing,Yes,None
9,1,"Area (9, 1)",clearing,Yes,None
9,2,"Area (9, 2)",forest,Yes,None
9,3,"Area (9, 3)",forest,Yes,None
9,4,"Area (9, 4)",clearing,Yes,None
9,5,"Area (9, 5)",clearing,Yes,None
9,6,"Area (9, 6)",clearing,Yes,None
9,7,"Area (9, 7)",clearing,Yes,None
9,8,"Area (9, 8)",forest,Yes,None
9,9,ANCIENT_SANCTUARY,temple,Yes,ancient_key
