area_name,position_x,position_y,position,terrain_type,description,requirements,is_minor_area,enemies,items,npcs,connections
Empty,0,9,"(0, 9)",Unknown,Empty tile,,False,,,,
Empty,1,9,"(1, 9)",Unknown,Empty tile,,False,,,,
Empty,2,9,"(2, 9)",Unknown,Empty tile,,False,,,,
Empty,3,9,"(3, 9)",Unknown,Empty tile,,False,,,,
Empty,4,9,"(4, 9)",Unknown,Empty tile,,False,,,,
Empty,5,9,"(5, 9)",Unknown,Empty tile,,False,,,,
Empty,6,9,"(6, 9)",Unknown,Empty tile,,False,,,,
Empty,7,9,"(7, 9)",Unknown,Empty tile,,False,,,,
Empty,8,9,"(8, 9)",Unknown,Empty tile,,False,,,,
Empty,9,9,"(9, 9)",Unknown,Empty tile,,False,,,,
Empty,0,8,"(0, 8)",Unknown,Empty tile,,False,,,,
Empty,1,8,"(1, 8)",Unknown,Empty tile,,False,,,,
Empty,2,8,"(2, 8)",Unknown,Empty tile,,False,,,,
Empty,3,8,"(3, 8)",Unknown,Empty tile,,False,,,,
Empty,4,8,"(4, 8)",Unknown,Empty tile,,False,,,,
Empty,5,8,"(5, 8)",Unknown,Empty tile,,False,,,,
Empty,6,8,"(6, 8)",Unknown,Empty tile,,False,,,,
Empty,7,8,"(7, 8)",Unknown,Empty tile,,False,,,,
Empty,8,8,"(8, 8)",Unknown,Empty tile,,False,,,,
Empty,9,8,"(9, 8)",Unknown,Empty tile,,False,,,,
Empty,0,7,"(0, 7)",Unknown,Empty tile,,False,,,,
Empty,1,7,"(1, 7)",Unknown,Empty tile,,False,,,,
Empty,2,7,"(2, 7)",Unknown,Empty tile,,False,,,,
Empty,3,7,"(3, 7)",Unknown,Empty tile,,False,,,,
Empty,4,7,"(4, 7)",Unknown,Empty tile,,False,,,,
Empty,5,7,"(5, 7)",Unknown,Empty tile,,False,,,,
Empty,6,7,"(6, 7)",Unknown,Empty tile,,False,,,,
Empty,7,7,"(7, 7)",Unknown,Empty tile,,False,,,,
Empty,8,7,"(8, 7)",Unknown,Empty tile,,False,,,,
Empty,9,7,"(9, 7)",Unknown,Empty tile,,False,,,,
Empty,0,6,"(0, 6)",Unknown,Empty tile,,False,,,,
Empty,1,6,"(1, 6)",Unknown,Empty tile,,False,,,,
Empty,2,6,"(2, 6)",Unknown,Empty tile,,False,,,,
Empty,3,6,"(3, 6)",Unknown,Empty tile,,False,,,,
Empty,4,6,"(4, 6)",Unknown,Empty tile,,False,,,,
Empty,5,6,"(5, 6)",Unknown,Empty tile,,False,,,,
Empty,6,6,"(6, 6)",Unknown,Empty tile,,False,,,,
Empty,7,6,"(7, 6)",Unknown,Empty tile,,False,,,,
Empty,8,6,"(8, 6)",Unknown,Empty tile,,False,,,,
Empty,9,6,"(9, 6)",Unknown,Empty tile,,False,,,,
Empty,0,5,"(0, 5)",Unknown,Empty tile,,False,,,,
Empty,1,5,"(1, 5)",Unknown,Empty tile,,False,,,,
Empty,2,5,"(2, 5)",Unknown,Empty tile,,False,,,,
Empty,3,5,"(3, 5)",Unknown,Empty tile,,False,,,,
Empty,4,5,"(4, 5)",Unknown,Empty tile,,False,,,,
Empty,5,5,"(5, 5)",Unknown,Empty tile,,False,,,,
Empty,6,5,"(6, 5)",Unknown,Empty tile,,False,,,,
Empty,7,5,"(7, 5)",Unknown,Empty tile,,False,,,,
Empty,8,5,"(8, 5)",Unknown,Empty tile,,False,,,,
Empty,9,5,"(9, 5)",Unknown,Empty tile,,False,,,,
forgotten_temple,0,4,"(0, 4)",TerrainType.RUINS,A temple forgotten by all but the shadows. Ancient assassins once trained here.,"stealth_token, shadow_cloak",False,shadow_master,"shadow_blade, stealth_talisman",,"south → shadow_training, south → shadow_domain"
crystal_caves,1,4,"(1, 4)",TerrainType.CAVE,"Massive crystals grow from floor to ceiling, humming with ancient power.",crystal_key,False,crystal_guardian,power_crystal,,"south → enchanted_valley, east → forgotten_grove"
forgotten_grove,2,4,"(2, 4)",TerrainType.FOREST,The legendary grove where the last centaurs made their final stand.,all_talismans,False,ancient_guardian,centaur_relic,,west → crystal_caves
Empty,3,4,"(3, 4)",Unknown,Empty tile,,False,,,,
Empty,4,4,"(4, 4)",Unknown,Empty tile,,False,,,,
Empty,5,4,"(5, 4)",Unknown,Empty tile,,False,,,,
Empty,6,4,"(6, 4)",Unknown,Empty tile,,False,,,,
Empty,7,4,"(7, 4)",Unknown,Empty tile,,False,,,,
Empty,8,4,"(8, 4)",Unknown,Empty tile,,False,,,,
Empty,9,4,"(9, 4)",Unknown,Empty tile,,False,,,,
shadow_training,0,3,"(0, 3)",TerrainType.RUINS,"Training dummies made of shadow stand motionless, waiting for practice.",,False,shadow_initiate,"smoke_bomb, stealth_cloak",,"west → shadow_domain, east → mystic_mountains, north → forgotten_temple"
enchanted_valley,1,3,"(1, 3)",TerrainType.VALLEY,"A valley hidden from the world, where magic flows freely and strange plants grow.",,False,fae_guardian,"mystic_token, crystal_key",,"south → mystic_mountains, south → crystal_pond, north → crystal_caves"
Empty,2,3,"(2, 3)",Unknown,Empty tile,,False,,,,
Empty,3,3,"(3, 3)",Unknown,Empty tile,,False,,,,
Empty,4,3,"(4, 3)",Unknown,Empty tile,,False,,,,
