X,Y,Area Name,Item
0,0,AWAKENING_WOODS,rusty_sword
0,0,AWAKENING_WOODS,leather_pouch
0,1,TRIALS_PATH,healing_herb
0,1,TRIALS_PATH,trial_map
0,2,SHADOW_DOMAIN,shadow_essence
0,3,SHADOW_TRAINING,shadow_blade
0,4,FORGOTTEN_TEMPLE,ancient_scroll
0,6,"Area (0, 6)",alpine_flower
1,0,WARRIORS_CAMP,basic_shield
1,1,MOUNTAIN_BASE,climbing_rope
1,2,MYSTIC_MOUNTAINS,mystic_crystal
1,3,ENCHANTED_VALLEY,enchanted_seed
1,4,CRYSTAL_CAVES,prismatic_shard
1,5,"Area (1, 5)",wildflowers
2,0,TRAINING_GROUNDS,training_sword
2,2,CRYSTAL_POND,luminous_crystal
2,4,FORGOTTEN_GROVE,silver_leaf
2,6,"Area (2, 6)",fallen_branch
2,9,"Area (2, 9)",valley_herb
3,0,HONOR_SHRINE,honor_medal
3,2,MEDITATION_CIRCLE,meditation_stone
3,3,"Area (3, 3)",prayer_bead
4,6,"Area (4, 6)",smooth_stone
4,9,"Area (4, 9)",bird_nest
5,5,CROSSROADS,traveler_map
5,5,CROSSROADS,compass
5,9,"Area (5, 9)",tall_grass
6,1,"Area (6, 1)",tarnished_emblem
6,2,"Area (6, 2)",strange_mushroom
6,5,"Area (6, 5)",wildflowers
6,6,"Area (6, 6)",strange_mushroom
6,7,"Area (6, 7)",alpine_flower
7,2,"Area (7, 2)",tarnished_emblem
7,6,"Area (7, 6)",smooth_stone
8,2,"Area (8, 2)",water_lily
8,6,"Area (8, 6)",strange_mushroom
8,8,GUARDIAN_OVERLOOK,ancient_key
8,9,"Area (8, 9)",broken_statue
9,4,"Area (9, 4)",wildflowers
9,5,"Area (9, 5)",smooth_pebble
9,6,"Area (9, 6)",tall_grass
9,7,"Area (9, 7)",wildflowers
9,8,"Area (9, 8)",forest_berries
9,9,ANCIENT_SANCTUARY,centaur_wisdom
